join,envelope,full_title,short_title,subject,call_num,scan_num,url
10712,"W0623000,W0565500,S0503000,S0531500","República Argentina, Mar Argentino, Islas Malvinas / compilación de levantamientos nacionales y extranjeros ; publicado por la Dirección General de Navegación e Hidrografía del Ministerio de Marina",Falkland Islands 1952,Nautical charts -- Argentina; Coasts -- Falkland Islands -- Maps,Argentinian Chart 119 1952,agsmap023495,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/10712
8715,"E0181700,E0185500,S0333600,S0342400","Survey of the Cape of Good Hope / by Lieut. A.T.E. Vidal of H.M.S. Leven, assisted by Capt[n] Cha[s]. Lechmere, R.N. Lieut T. Boteler, and M[r] H.A. Gibbons, Adm[lty] Mid[n] under the direction of Captn. W.F.W. Owen, 1822. J. &amp; C. Walker sculpt.",South Africa 1828,Nautical charts;   Bathymetric maps;  Nautical charts -- South Africa -- Cape of Good Hope; Cape of Good Hope (South Africa) -- Maps,BA Chart 636 1828,am022791,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8715
8852,"E0044900,E0070500,N0593000,N0574700","Norway, south-west coast, the Naze to Karmo / published at the Admiralty Decr. 18th 1869 ; Engraved by J. & C. Walker","Norway, south west coast 1909",Nautical charts;    Bathymetric maps; Lindesnes (Norway) -- Maps;  Karmøy herad (Norway) -- Maps,BA 2281 1909,am022733,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8852
21393,"W0920318,W0912638,N0744634,N0743939","Arctic Sea, Barrow Strait, Erebus Bay / surveyed by Commr. W.J.S. Pullen ; Day & Son Lithrs.",Arctic 1854,Nautical charts -- Nunavut; Islands -- Nunavut -- Maps;,061-c .E7B3 A-1854,am012119,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21393
21400,"W0700000,W0600500,S0435000,S0530000","Carte des côtes de la Patagonie, depuis le détroit de Magellan / d'après les travaux éxécutés de 1828 à 1834 Dépôt général de la marine, 1851","Patagonia, 1919",Nautical charts -- Argentina -- Atlantic Coast; Coasts -- Argentina -- Maps; Coasts -- Patagonia (Argentina and Chile) -- Maps,French Chart 1263 1919,agsmap026408,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21400
21401,"W0655000,W0563500,S0345000,S0455000","Amérique méridionale, côté est du Rio de la Plata au Golfe de St. Georges / d'après les levés anglais de 1834, Dépôt général de la marine, 1851","Argentina Coast, 1920",Nautical charts -- Argentina -- Atlantic Coast; Coasts -- Argentina -- Maps,French Chart 1262 1920,agsmap026407,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21401
21402,"E0222400,E0300100,N0412400,N0372500","Carte de la partie septentrionale de l'Archipel / dressée d'après les travaux les plus récents ... Dépôt général de la marine, 1854","Aegean Archipelago, 1889",Nautical charts -- Aegean Sea; Nautical charts -- Aegean Islands (Greece and Turkey),French Chart 1456 1889,agsmap026409,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21402
21421,"W0555437,W0554743,N0513822,N0513514",Plan de la Baie du Cap Normand et du Havre de Cook (coté nord de Terre-Neuve) / levé in 1855 par G. Pierre,"Newfoundland, Cape Normand and Cook's Harbor, 1857",Nautical charts -- Newfoundland and Labrador;  Cook's Harbour (N.L.) -- Maps;  Cape Norman (N.L.) -- Maps,French Chart 1702 1857,agsmap026414,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21421
21422,"W0762546,W0762142,S0133601,S0134118",Plan des Iles Chincha (Pérou) / levé en Octobre 1853 ... Dépôt des cartes et plans de la marine ... 1857,"Peru, Chincha Islands, 1915",Nautical charts -- Peru -- Chincha Islands,French Chart 1722 1915,agsmap026415,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21422
21423,"W0644810,W0632611,N0111211,N0102522","Mer des Antilles, Ile de Margarita et Golfe de Cariaco / d'après d'anciens plans espagnols ; Dépôt général de la marine, 1856","Caribbean Sea, 1920",Nautical charts -- Venezuela -- Margarita Island;  Nautical charts -- Venezuela -- Margarita Channel,French Chart 1670 1920,agsmap026413,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21423
21436,"W0052900,W0002300,N0483000,N0431000","Courants de la côte ouest de France, de la pointe de Penmarc'h à la frontière d'Espagne, cartes simultanées / dressées par M. Gabriel Raynaud enseigne de Veau., Service hydrographique de la marine, 1903","France, West Coast Currents, 1903","Nautical charts -- Biscay, Bay of (France and Spain); Water currents -- Biscay, Bay of (France and Spain)",French Chart 11 A-L 1903,agsmap026450 (001-012),http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21436
21439,"E0072100,E0072527,N0370511,N0370244",Carte générale de la Martinique / Dépôt général de la marine ... 1831,"Martinique, 1919",Nautical charts -- Martinique,French Chart 383 (G) 1919,agsmap026466 (c1-c2),http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21439
21452,"W0064000,E0032000,N0521000,N0474000","Courants de la manche et de l'entrée de la Mer du Nord, cartes synoptiques / dressées en 1891 par Mr. Hédouin, pilote major de la flotte et révisées en 1928 par Mr. Kéros, officier des équipages pilote, Service hydrographique de la marine, 1891","English Channel Currents, 1930",Nautical charts -- English Channel; Water currents -- English Channel -- Maps,French Chart 5 A-L 1930,agsmap026457 (001-012),http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21452
21467,"W0110000,E0120000,N0610000,N0505000","Courants de la Mer du Nord et des abords des Iles Brittaniques / d'après les cartes de courants de l'Amirauté anglaise, Service hydrographique de la marine, 1922","North Sea Currents, 1922",Nautical charts -- North Sea; Water currents -- North Sea -- Maps,French Chart 8 A-L 1922,agsmap026451 (001-012),http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21467
21485,"E0700000,E0730000,S0040000,S0082000","Carte des Iles Chagos / levée en 1837 ... Dépôt général de la marine, 1841","Chagos Archipelago, 1916",Nautical charts -- British Indian Ocean Territory,French Chart 943 1916,agsmap026423,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21485
21486,"W0454100,W0360200,S0134000,S0233500","Carte routière de la côte du Brésil, partie comprise entre Rio Janiero et Bahia / levée et dressée en 1861 et 1862 ... Dépôt des cartes et plans de la marine ... 1863","Brazil Coast, 1921",Nautical charts -- Brazil -- Atlantic Coast,French Chart 2054 1921,agsmap026420,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21486
21487,"W0002200,W0001130,N0492050,N0491048","Côte nord de France, rade et port de Caen / carte levée en 1834 ... Service hydrographique de la marine ... 1839","France, North Coast, 1955",Nautical charts -- France -- Caen;  Harbors -- France -- Caen -- Maps;  Caen (France) -- Maps,French Chart 891 1955,agsmap026421,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21487
21488,"W1200000,W0923600,N0330000,N0150000","Carte de la côte occidentale d'Amérique, comprise entre le port de San Diego et le Golfe de Tehuantepec / dressée d'après les travaux les plus récents ... Dépôt des cartes et plans de la marine ... 1863","Mexico, West Coast, 1916",Nautical charts -- Mexico;  Nautical charts -- Mexico -- Pacific Coast,French Chart 1997 1916,agsmap026418,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21488
21489,"W0840500,W0731000,N0202000,N0133800","Mer des Antilles, carte des passages entre Cuba, la Jamaïque et la côte des Mosquitos / dressée d'après les travaux les plus récents ... Dépôt des cartes et plans de la marine ... 1863","Caribbean Sea, 1920",Nautical charts -- Jamaica;  Coasts -- Mosquitia (Nicaragua and Honduras) -- Maps,French Chart 2040 1920,agsmap026419,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21489
21490,"W0922500,W0811300,N0245000,N0180000","Carte des entrées du Golfe du Mexique et du banc de Campèche / dresée d'après les travaux Anglais, Espagnols et Américains les plus récents, Dépôt des cartes et plans de la marine, 1862","Gulf of Medico, Mexico and Cuba, 1920",Nautical charts -- Yucatán Channel; Coasts -- Yucatán Peninsula -- Maps; Coasts -- Cuba -- Maps,French Chart 1988 1920,agsmap026417,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21490
21491,"W0754200,W0692000,S0310300,S0371600",Carte de la côte ouest de l'Amérique méridionale comprise entre la baie Arauco et Maytencillo (Chili) / dressée d'après les travaux Anglais et Français les plus récents ; Dépôt des cartes et plans de la marine ... 1862,"Chile Coast, 1920",Nautical charts -- Chile -- Arauco (Province),French Chart 1948 1920,agsmap026416,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21491
21492,"W0012100,E0000011,N0494900,N0491030","Côte nord de France, de la Pte. de Barfleur au Cap de la Hève, Baie de Seine / carte levée en 1833 et 1834 ; Service hydrographique de la marine ... 1890","France, North Coast, 1952",Nautical charts -- France -- Normandy,French Chart 944 1952,agsmap026424,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21492
21493,"W0663000,W0591000,N0185600,N0093400","Carte générale des Iles Antilles, comprises entre la Trinité et Porto-Rico / Dépôt général de la marine ... 1844","Lesser Antilles, 1920","Nautical charts -- Antilles, Lesser",French Chart 1032 1920,agsmap026427,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21493
21494,"W0563210,W0560230,N0470844,N0463840",Carte des Iles St. Pierre et Miquelon / levée en 1841 ... Dépôt général de la marine ... 1843,"St. Pierre and Miquelon, 1931",Nautical charts -- Saint Pierre and Miquelon,French Chart 1000 1931,agsmap026426,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21494
21495,"W0915300,W0661900,S0015000,S0301200","Carte de la côte occle. de l'Amérique, comprenant le Pérou et le nord du Chili / d'apres lès travaux du Capitne. Fitz-Roy ... Dépôt général de la marine ... 1847","South America, West Coast, 1921",Nautical charts -- Peru -- Pacific Coast;  Nautical charts -- Chile -- Pacific Coast,French Chart 1162 1921,agsmap026428,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21495
21496,"W0561456,W0560630,N0465023,N0464417","Océan Atlantique nord, abords sud de Terre-Neuve, Ile St. Pierre / levée en 1841 ... Dépôt général de la marine, 1843","St. Pierre Island, 1931",Nautical charts -- Saint Pierre and Miquelon -- Saint-Pierre;  Harbors -- Saint Pierre and Miquelon -- Saint-Pierre -- Maps;  Saint-Pierre (Saint Pierre and Miquelon) -- Maps,French Chart 982 1931,agsmap026425,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21496
21497,"W0910300,W0700400,S0293000,S0523000",Carte des côtes du Chili et de la Patagonie Occidentale / Dépôt général de la marine ... 1847,"Chile and Patagonia, 1920",Nautical charts -- Chile -- Pacific Coast;  Nautical charts -- Patagonia (Argentina and Chile),French Chart 1146 1920,agsmap026431,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21497
21498,"E0545930,E0560140,S0204700,S0212540",Carte des côtes de l'Île de la Réunion / levée en 1845 et 1846 ... Dépôt général de la marine ... 1949,"Réunion, 1955",Nautical charts -- Réunion;  Réunion -- Maps,French Chart 1223 1955,agsmap026435,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21498
21499,"W0483700,W0470100,S0001900,S0012500",Carte de la Rivière du Para et de ses atterrages / levée et dressée en 1843 ... Dépôt général de la marine ... 1846,"Para River, 1920",Nautical charts -- Brazil -- Atlantic Coast,French Chart 1108 1920,agsmap026430,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21499
21500,"W0565600,W0255600,S0534600,S0634400","Carte des Iles South-Orkney, Sandwich, Géorgie et d'une partie des terres australes / dressée par Mr. Vincendon-Dumoulin, ingénieur hydrographe de la marine, 1847","South Orkney, South Georgia, and South Sandwich Islands, 1930",Nautical charts -- South Orkney Islands;  Nautical charts -- South Georgia and South Sandwich Islands,French Chart 1148 1930,agsmap026432,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21500
21501,"W1350635,W1345004,S0225829,S0231910","Océan Pacifique sud, archipel des Tuamotou, Iles Gambier / carte levée en 1838 ... Dépôt des cartes et plans de la marine, 1845","Gambier Islands, 1919",Nautical charts -- French Polynesia -- Gambier Islands,French Chart 1063 1919,agsmap026429,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21501
21502,"W0610825,W0604550,N0143701,N0142225","Océan Atlantique, Antilles, la Martinique, partie sud / carte levée en 1824-1825 ... Service hydrographique de la marine ... 1829","Martinique, southern part, 1946",Nautical charts -- Martinique,French Chart 385 1946,agsmap026436,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21502
21503,"E0045627,E0051447,N0433424,N0431750","Mer Méditerranée, côte de France, étang de Berre / carte levée en 1844 ... Dépôt général de la marine, 1848","Étang de Berre, 1904",Nautical charts -- France -- Berre-l'Etang;  Harbors -- France -- Berre-l'Etang -- Maps;  Nautical charts -- France -- Berre Lagoon;  Berre-l'Etang (France) -- Maps,French Chart 1172 1904,agsmap026434,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21503
21504,"W0565600,W0255600,S0534600,S0634400","Carte des Iles South-Orkney, Sandwich, Géorgie et d'une partie des terres australes / dressée par Mr. Vincendon-Dumoulin, ingénieur hydrographe de la marine, 1847","South Orkney, South Georgia, and South Sandwich Islands, 1933",Nautical charts -- South Orkney Islands;  Nautical charts -- South Georgia and South Sandwich Islands,French Chart 1148 1933,agsmap026433,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21504
21506,"W0020330,W0014115,N0493440,N0491345","Côte nord de France, de port Bail à Diélette, passage de la Déroute, les Ecrehou / carte levée en 1832 et 1833 ... Dépôt général de la marine, 1836","France, north coast, 1912",Nautical charts -- France -- Diélette;  Nautical charts -- France -- Portbail,French Chart 827 1912,agsmap026443,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21506
21507,"W0605554,W0605100,N0142820,N0142505",Plan du cul-de-sac Marin (Ile de la Martinique) / levé en 1824 ... Dépôt général de la marine ... 1828,"Martinique, Le Marin, 1935",Nautical charts -- Martinique -- Le Marin,French Chart 391 1935,agsmap026440,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21507
21508,"W0605639,W0604835,N0144152,N0143700","Mer des Antilles, Ile de la Martinique, havre du Robert et havre du François / plan levé en 1824 ... Dépôt général de la marine ... 1828","Martinique, Robert Harbor and François Harbor, 1944",Nautical charts -- Martinique -- Le François;  Nautical charts -- Martinique -- Le Robert,French Chart 390 1944,agsmap026439,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21508
21509,"W0611500,W0610010,N0145620,N0143420","Océan Atlantique, Antilles, la Martinique, partie nord / carte levée en 1824-1825 ... Service hydrographique de la marine ... 1829","Martinique, northern part, 1946",Nautical charts -- Martinique,French Chart 386 1946,agsmap026437,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21509
21510,"W1521810,W1521313,S0162400,S0162959","Océan Pacifique sud, Archipel de la Société, Ile Maupiti / levé par M. de Blosseville, officier de la marine ... 1823","French Polynesia, Maupiti, 1885",Nautical charts -- French Polynesia -- Maupiti,French Chart 688 1885,agsmap026442,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21510
21511,"W0054935,W0054702,N0354851,N0354612","Port de Tanger / plan levé en 1908 par la mission hydrographique du Comité du Maroc, fondation Hériot","Tangier, port, 1908",Nautical charts -- Morocco -- Tangier;  Harbors -- Morocco -- Tangier -- Maps;  Tangier (Morocco) -- Maps,Chart French Tanger 1908,agsmap026454,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21511
21512,"W0431900,W0430000,S0223700,S0230400",Plan de la baie de Rio-Janeiro / levé en 1826 et 1827 ... Dépôt général de la marine ... 1829,"Rio de Janeiro, bay, 1920",Nautical charts -- Brazil -- Rio de Janeiro;  Harbors -- Brazil -- Rio de Janeiro -- Maps;  Rio de Janeiro (Brazil) -- Maps,French Chart 412 1920,agsmap026441,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21512
21515,"W0015958,W0013703,N0463319,N0462406",Plan du port et de la rade des Sables d'Olonne / levé en 1822 ... Dépôt général de la marine ... 1828,"France, Sables d'Olonne Harbor, 1917",Nautical charts -- France -- Les Sables-d'Olonne;  Harbors -- France -- Les Sables-d'Olonne -- Maps;  Les Sables-d'Olonne (France) -- Maps,French Chart 152 1917,agsmap026464,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21515
21517,"W0610200,W0604710,N0145300,N0143100","Mer des Antilles, la Martinique, partie est / carte levée en 1824-1825 ... Dépôt général de la marine ... 1828","Martinique, eastern part, 1943",Nautical charts -- Martinique,French Chart 384 1943,agsmap026467,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21517
21518,"W0031755,W0024455,N0473015,N0471545","Côte ouest de France, Belle-Ile entrée de la baie de Quiberon, Iles Houat et Haedik / carte levée en 1819-1820 ... Dépôt général de la marine, 1827","France, west coast, 1918",Nautical charts -- France -- Belle-Île-en-Mer;  Nautical charts -- France -- Houat,French Chart 135 1918,agsmap026462,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21518
21520,"W0615800,W0605200,N0163200,N0154900","Carte générale de la Guadeloupe / levée en 1867-68-69 ... Dépôt des cartes et plans de la marine, 1875","Guadeloupe, 1914",Nautical charts -- Guadeloupe;  Nautical charts -- Guadeloupe -- Marie-Galante,French Chart 3423 (G) 1914,agsmap026458,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21520
21522,"W0022026,W0014937,N0464950,N0463630","Côte ouest de France, environs de St. Gilles sur Vie, partie orientale de l'Île d'Yeu / carte levée en 1822 ; Dépôt général de la marine, 1829","France, west coast, 1903",Nautical charts -- France -- Saint-Gilles-Croix-de-Vie (Canton);  Nautical charts -- France -- Yeu Island,French Chart 151. (G.) 1903,agsmap026463,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21522
21524,"W0013857,W0010525,N0462220,N0460755","Côte ouest de France, de la pte. du Grouin du cou à la Rochelle, pertuis Breton, Île de Ré / carte levée en 1822 et 1824 ... Dépôt général de la marine, 1831","France, west coast, 1915","Nautical charts -- France -- La Rochelle;  Nautical charts -- France -- Ré Island;  Nautical charts -- France -- Aiguillon, Anse de l'",French Chart 156 1915,agsmap026465,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21524
21525,"W0660735,W0652510,S0445620,S0451625","Côte est de Patagonie, golfe de St. Georges, de l'ile Raza a i'ile Tova / levé en 1876 ... Dépôt des cartes et plans de la marine, 1877","Patagonia, east coast, 1920",Nautical charts -- Argentina -- Atlantic Coast;  Coasts -- Patagonia (Argentina and Chile) -- Maps,French Chart 3561 1920,agsmap026473,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21525
21526,"W0810000,W0764700,N0053000,S0000000","Amérique méridionale (côte ouest) de l'équateur au Cap Corrientes / d'après les levés de l'Amirauté anglaise de 1836 à 1848, Dépôt des cartes et plans de la marine, 1876","South America, west coast, 1921",Nautical charts -- Colombia -- Pacific Coast;  Nautical charts -- Ecuador -- Pacific Coast,French Chart 3517 1921,agsmap026470,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21526
