Full Title,Short Title,Subject,Primo Record Permalink,Original Item Description,Original Item ID,Digital ID,Digital Format,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"Preliminary chart of Ontonagon Harbor, Lake Superior : from surveys under the direction of the Topographical Bureau of the War Department ... / surveyed and drawn under the direction of Captain J.N. Macomb, Top[graphica]l Eng[inee]r by Lieut. W.P. Raynolds, Top[ographica]l Eng[inee]r ; assisted by J.U. Mueller, D. Henry and J. Wallace ; engraved by W.H. Dougal ; drawn for engraving by Joshua Barney","Ontonagon Harbor, Lake Superior 1859","Nautical charts--Michigan--Ontonagon--Maps; Ontonagon River Estuary (Mich.)--Maps; Superior, Lake--Maps; Adopt-a-Map;",,1 map ; 37 x 53 cm.,800-b H-Var Lake Survey I no. 17 1859,am012865,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1549,1549,1541.jp2,/agdm/image/1541.jp2
"Maury's wind & current chart, 3d. edition 1852, no. 2, series A",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003564,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1717,1717,1709.jp2,/agdm/image/1709.jp2
"Maury's wind & current chart, 3d. edition 1852, no. 3, series A",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003565,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1718,1718,1710.jp2,/agdm/image/1710.jp2
"Maury's wind & current chart, 3d. edition 1849, no. 4, series A",Maury's wind and current charts 1849,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003566,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1719,1719,1711.jp2,/agdm/image/1711.jp2
"Maury's wind & current chart, 3d. edition 1849, no. 5, series A",Maury's wind and current charts 1853,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003567,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1720,1720,1712.jp2,/agdm/image/1712.jp2
"Maury's wind & current chart, 3d. edition 1849, no. 6, series A",Maury's wind and current charts 1849,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003568,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1721,1721,1713.jp2,/agdm/image/1713.jp2
"Maury's wind & current charts, 3d. edition 1849, no. 7, series A",Maury's wind and current charts 1849,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003569,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1722,1722,1714.jp2,/agdm/image/1714.jp2
"Maury's wind & current chart, North Pacific, no. 2, series A",Maury's wind and current charts 1851,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003572,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1723,1723,1715.jp2,/agdm/image/1715.jp2
"Maury's wind & current chart, 3d. edition 1849, no. 8, series A",Maury's wind and current charts 1850,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003570,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1724,1724,1716.jp2,/agdm/image/1716.jp2
"North Pacific series A, no. 3 / drawn by Lardner Gibbon P.M., U.S.N.",Maury's wind and current charts 1850,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003573,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1725,1725,1717.jp2,/agdm/image/1717.jp2
"Maury's wind & current chart, North Pacific no. 4, series A",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003574,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1726,1726,1718.jp2,/agdm/image/1718.jp2
"Wind and current chart of the North Pacific / by M.F. Maury, A.M. Lieut. U.S. Navy",Maury's wind and current charts 1849,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003575,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1727,1727,1719.jp2,/agdm/image/1719.jp2
"Maury's wind and current chart, North Pacific series A, no. 6",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003576,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1728,1728,1720.jp2,/agdm/image/1720.jp2
"Maury's wind and current chart, North Pacific series A, no. 7",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003577,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1729,1729,1721.jp2,/agdm/image/1721.jp2
"Maury's wind & current chart, North Pacific series A, no. 8 / drawn by W.C.B.S. Porter, Lieut. U.S.N.",Maury's wind and current charts [185-?],Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003578,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1730,1730,1722.jp2,/agdm/image/1722.jp2
"Maury's wind & current chart, North Pacific series A, no. 9 / drawn by T.S. Fillebrown, U.S.N.",Maury's wind and current charts [185-?],Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003579,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1731,1731,1723.jp2,/agdm/image/1723.jp2
"Maury's wind & current chart, North Pacific no. 10, series A / drawn by Lardner Gibbon P.M., U.S.N.",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003580,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1732,1732,1724.jp2,/agdm/image/1724.jp2
"Maury's wind & current chart, North Pacific no. 11, series A / drawn by Lardner Gibbon P.M., U.S.N.",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003581,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1733,1733,1725.jp2,/agdm/image/1725.jp2
Wind and current chart of the South Atlantic / by M.F. Maury L.L.D. Lieut. U.S. Navy,Maury's wind and current charts 1853,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003582,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1734,1734,1726.jp2,/agdm/image/1726.jp2
"Maury's wind & current chart, S. Atlantic series A, sheet no. 2",Maury's wind and current charts 1853,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003583,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1735,1735,1727.jp2,/agdm/image/1727.jp2
"Maury's wind & current chart, South Atlantic, series A, no. 3",Maury's wind and current charts [185-?],Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003584,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1736,1736,1728.jp2,/agdm/image/1728.jp2
"Maury's wind and current chart, series A, South Atlantic no. 4",Maury's wind and current charts 185-?,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003585,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1737,1737,1729.jp2,/agdm/image/1729.jp2
"Maury's wind and current chart series A, Indian Ocean no. 4",Maury's wind and current charts 1856,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003591,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1738,1738,1730.jp2,/agdm/image/1730.jp2
"Maury's wind and current chart, Indian Ocean series A, no. 5",Maury's wind and current charts 1856,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003592,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1739,1739,1731.jp2,/agdm/image/1731.jp2
"Maury's wind and current chart, Indian Ocean series A, no. 6",Maury's wind and current charts 1856,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003593,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1740,1740,1732.jp2,/agdm/image/1732.jp2
"Maury's wind and current chart, Indian Ocean series A, no. 7",Maury's wind and current charts 1856,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003594,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1741,1741,1733.jp2,/agdm/image/1733.jp2
"Maury's wind and current chart, Indian Ocean series A, no. 8",Maury's wind and current charts 1856,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003595,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1742,1742,1734.jp2,/agdm/image/1734.jp2
"Maury's wind and current chart, Indian Ocean series A, no. 9",Maury's wind and current charts 1856,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003596,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1743,1743,1735.jp2,/agdm/image/1735.jp2
"Maury's wind and current chart, Indian Ocean, series A, no. 10",Maury's wind and current charts 1856,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003597,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1744,1744,1736.jp2,/agdm/image/1736.jp2
"Maury's wind and current chart, Indian Ocean series A, no. 11",Maury's wind and current charts 1856,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003598,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1745,1745,1737.jp2,/agdm/image/1737.jp2
"Pilot chart of the South Pacific / by M.F. Maury, L.L.D. Com'dr. U.S. Navy",Maury's wind and current charts 1859,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003629,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1746,1746,1738.jp2,/agdm/image/1738.jp2
"Maury's wind and current chart, South Pacific no. 9, series A",Maury's wind and current charts 1856,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003607,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1747,1747,1739.jp2,/agdm/image/1739.jp2
"Maury's wind and current chart, series A, South Pacific no. 10",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003608,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1748,1748,1740.jp2,/agdm/image/1740.jp2
Trade wind chart of the Atlantic Ocean / by M.F. Maury. L.L.D. Lieut. U.S.N.,Maury's wind and current charts 1851,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003609,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1749,1749,1741.jp2,/agdm/image/1741.jp2
"Trade wind chart of the Atlantic Ocean / by M.F. Maury, L.L.D. Lieut. U.S.N.",Maury's wind and current charts 1858,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003610,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1750,1750,1742.jp2,/agdm/image/1742.jp2
"Pilot chart of the North Atlantic / by M.F. Maury, A.M. Lieut. U.S. Navy",Maury's wind and current charts 1849,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003611,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1751,1751,1743.jp2,/agdm/image/1743.jp2
"Pilot chart of the North Atlantic / by Lieut. M.F. Maury, U.S. Navy",Maury's wind and current charts 1849,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003612,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1752,1752,1744.jp2,/agdm/image/1744.jp2
"Pilot chart of the North Atlantic / by M.F. Maury, L.L.D., Lieut. U.S. Navy",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003613,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1753,1753,1745.jp2,/agdm/image/1745.jp2
"Pilot chart of the North Atlantic / by Lieut. M.F. Maury, U.S. Navy",Maury's wind and current charts 1849,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003614,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1754,1754,1746.jp2,/agdm/image/1746.jp2
"Pilot chart of the South Atlantic / by M.F. Maury, L.L.D. Lieut. U.S. Navy",Maury's wind and current charts 1853,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003615,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1755,1755,1747.jp2,/agdm/image/1747.jp2
"Pilot chart of the South Atlantic / by Lieut. M.F. Maury, U.S. Navy",Maury's wind and current charts 1853,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003616,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1756,1756,1748.jp2,/agdm/image/1748.jp2
"Pilot chart of the North Pacific / by M.F. Maury, L.L.D. Lieut. U.S. Navy",Maury's wind and current charts 1853,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003617,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1757,1757,1749.jp2,/agdm/image/1749.jp2
"Pilot chart of the North Pacific / by Lieut. M.F. Maury, U.S. Navy",Maury's wind and current charts 1853,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003619,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1758,1758,1750.jp2,/agdm/image/1750.jp2
"Pilot chart of the North Pacific / by Lieut. M.F. Maury, U.S. Navy",Maury's wind and current charts 1859,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003620,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1759,1759,1751.jp2,/agdm/image/1751.jp2
"Pilot chart of the North Pacific / by Lieut. M.F. Maury, U.S. Navy",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003621,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1760,1760,1752.jp2,/agdm/image/1752.jp2
"Pilot chart of the North Pacific / by M.F. Maury, L.L.D. Lieut. U.S. Navy",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003622,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1761,1761,1753.jp2,/agdm/image/1753.jp2
"Pilot chart of the coast of Brazil / by Lieut. M.F. Maury, U.S. Navy",Maury's wind and current charts 1849,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003623,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1762,1762,1754.jp2,/agdm/image/1754.jp2
"Pilot chart for Cape Horn / by M.F. Maury, L.L.D. Lieut. U.S. Navy",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003624,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1763,1763,1755.jp2,/agdm/image/1755.jp2
"Pilot chart, Cape Horn / by Lieut. M.F. Maury, U.S. Navy",Maury's wind and current charts 1852,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003625,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1764,1764,1756.jp2,/agdm/image/1756.jp2
"Pilot chart of the South Pacific / by Lieut. M.F. Maury, U.S. Navy",Maury's wind and current charts 1853,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003627,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1765,1765,1757.jp2,/agdm/image/1757.jp2
"Pilot chart of the South Pacific / by Lieut. M.F. Maury, U.S. Navy",Maury's wind and current charts 1856,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003630,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1766,1766,1758.jp2,/agdm/image/1758.jp2
"Pilot chart of the South Pacific / by Lieut. M.F. Maury, U.S. Navy",Maury's wind and current charts 1856,Nautical charts,,1 map : some color ; 90 x 62 cm. or smaller and 61 x 93 cm.,(AGS) (RARE) 700 A-Var Maury Charts (Located in drawers along northeast wall),am003631,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1767,1767,1759.jp2,/agdm/image/1759.jp2
